학원명,주소,"설립자
강사","교습
과정","교습
과목",정원,"교습
기간","총교습시간
(분)",기숙사비,피복비,차량비,"적용일
(최종교습비변경일)",경도,위도,경위도
가온플러스독서실,서울특별시 강남구 테헤란로6길 46,1,독서실(유아/초·중·고),월이용료,103,1개월 0일,1,"178,000","178,000",0,2015.12.02,127.0314568,37.49567951,"127.031456779565,37.4956795091292"
가온플러스독서실,서울특별시 강남구 테헤란로6길 46,1,독서실(유아/초·중·고),일이용료,103,0개월 1일,1,"9,000","9,000",0,2015.12.02,127.0314568,37.49567951,"127.031456779565,37.4956795091292"
강남종로대치독서실,서울특별시 강남구 역삼로 534,1,독서실(유아/초·중·고),독학1,180,0개월 1일,1,"9,000","9,000",0,2021.01.11,127.0614462,37.50379209,"127.061446165895,37.5037920887387"
강남종로대치독서실,서울특별시 강남구 역삼로 534,1,독서실(유아/초·중·고),독학2,180,1개월 0일,1,"178,000","178,000",0,2021.01.11,127.0614462,37.50379209,"127.061446165895,37.5037920887387"
강남하이퍼의대관2독서실,서울특별시 강남구 강남대로84길 13,1,독서실(유아/초·중·고),독서실,89,1개월 0일,0,"178,000","178,000",0,2020.09.22,127.0295846,37.4968713,"127.029584593533,37.4968713038172"
강남하이퍼의대관2독서실,서울특별시 강남구 강남대로84길 13,1,독서실(유아/초·중·고),독서실,89,0개월 1일,0,"178,000","178,000",0,2020.09.22,127.0295846,37.4968713,"127.029584593533,37.4968713038172"
공부공간독서실,서울특별시 강남구 삼성로64길 46,1,독서실(유아/초·중·고),1일,64,0개월 1일,1,"9,000","9,000",0,2017.12.28,127.0642654,37.50073591,"127.064265387792,37.5007359092488"
공부공간독서실,서울특별시 강남구 삼성로64길 46,1,독서실(유아/초·중·고),1개월,64,1개월 0일,1,"178,000","178,000",0,2017.12.28,127.0642654,37.50073591,"127.064265387792,37.5007359092488"
그린램프라이브러리개포독서실,서울특별시 강남구 개포로 615,2,독서실(유아/초·중·고),독서실,10,1개월 0일,1,"178,000","178,000",0,2015.04.30,127.0755849,37.49265817,"127.075584863879,37.4926581736143"
그린램프라이브러리개포독서실,서울특별시 강남구 개포로 615,2,독서실(유아/초·중·고),1일,10,0개월 1일,1,"9,000","9,000",0,2015.04.30,127.0755849,37.49265817,"127.075584863879,37.4926581736143"
그린램프라이브러리대치캠퍼스독서실,서울특별시 강남구 삼성로 150,2,독서실(유아/초·중·고),한달,99,1개월 0일,1,"178,000","178,000",0,2015.07.07,127.0685647,37.49569534,"127.068564672209,37.4956953356085"
그린램프라이브러리대치캠퍼스독서실,서울특별시 강남구 삼성로 150,2,독서실(유아/초·중·고),1일,99,0개월 1일,1,"9,000","9,000",0,2015.07.07,127.0685647,37.49569534,"127.068564672209,37.4956953356085"
그린램프라이브러리도곡2캠퍼스독서실,서울특별시 강남구 언주로 118,3,독서실(유아/초·중·고),독서실(학생),296,1개월 0일,0,"178,000","178,000",0,2018.09.14,127.0518555,37.48691597,"127.051855548139,37.4869159664401"
그린램프라이브러리도곡2캠퍼스독서실,서울특별시 강남구 언주로 118,3,독서실(유아/초·중·고),독서실(학생),296,0개월 1일,0,"9,000","9,000",0,2018.09.14,127.0518555,37.48691597,"127.051855548139,37.4869159664401"
